categoria_patron,Aversion_a_la_Perdida,Disociacion_Financiera,Disociacion_Temporal,Efecto_Anclaje,Efecto_Arrastre_(Bandwagon),Efecto_Zeigarnik,Escasez,FOMO,Falacia_Coste_Hundido,Formacion_Habitos,Refuerzo_Intermitente,Sesgo_Status_Quo,Sobrecarga_Cognitiva,All
Currency_Confusion,0,2,0,0,0,0,0,0,0,0,0,0,0,2
False_Urgency,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Nagging,0,0,0,0,0,0,0,1,0,0,0,0,1,2
Near_Miss,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Playing_by_Appointment,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Preselection,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Price_Anchoring,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Reward_Manipulation,0,0,0,0,0,0,0,0,0,0,4,0,0,4
Social_Proof,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Sunk_Cost,0,0,0,0,0,0,0,0,3,0,0,0,0,3
Time_Obstruction,0,0,1,0,0,0,0,0,0,0,0,0,0,1
All,1,2,1,1,1,1,1,1,3,1,4,1,1,19
