descripcion,Currency_Confusion,False_Urgency,Nagging,Near_Miss,Playing_by_Appointment,Preselection,Price_Anchoring,Reward_Manipulation,Social_Proof,Sunk_Cost,Time_Obstruction
Barra de progreso del nivel de la temporada en el menu de pausa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Cuando la partida termina, el cursor esta sobre el boton para jugar de nuevo (Aunque no hay autoplay)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cuenta atras que dan fin al evento,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuenta atrás en la pagina de la tienda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"En el Lobby, tienes un tiempo de espera de 1 minuto en el que ves a los otros jugadores con sus skins y sus acciones cosmeticas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"En el apartado de competicion, vemos una gran cantidad de eventos para mantener a los usuarios alerta durante diferentes di­as de la semana",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"En partida, el numero de veces que te sale una notificacion de que has ganado experiencia por casi cualquier cosa. Del minuto 08:21 al 10:31",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"En partida, el numero de veces que te sale una notificacion de que has ganado experiencia por casi cualquier cosa. Del minuto 12:02 al 10:31",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"En partida, sale un cartel anunciando que has completado una mision y te dan muchos puntos de experiencia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"En partida, semuestra como subimos de nivel con un aviso",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Menu de la tienda en la que aparecen los arti­culos con la moneda propia del juego, los Pavos",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pantalla de eventos con barra de progreso,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pantalla inicio de sesion con los personajes de la temporada,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pases de batalla con la barra de progreso y, todas las recompensas que tienes disponibles",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Perdida de la nocion del tiempo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Precios mostrados en monedas del juego CRED y glorias pasas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Progreso de las recompensas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Una vez seleccionado un arti­culo de la tienda, sale debajo de la divisa propia su equivalente en Euros",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ventana con eventos y anuncios del videojuego,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
